nme_product,nme_target_scientific,nme_target,nme_crop,num_applic_dosage_min,num_applic_dosage_max,dsc_unit_mesure,dsc_applic_period,num_grace_period,,,,,,,,,,,,,,,
7344 VT Triple PRO,Helicoverpa gelotopoeon,Isoca bolillera,Maíz,0,0,n/a,n/a,,,,,,,,,,,,,,,,
7344 VT Triple PRO,Spodoptera frugiperda,Oruga militar tardía ,Maíz,0,0,n/a,n/a,,,,,,,,,,,,,,,,
7349 VT Triple PRO,Helicoverpa gelotopoeon,Isoca bolillera,Maíz,0,0,n/a,n/a,,,,,,,,,,,,,,,,
7349 VT Triple PRO,Spodoptera frugiperda,Oruga militar tardía ,Maíz,0,0,n/a,n/a,,,,,,,,,,,,,,,,
7349 VT Triple PRO,Spodoptera frugiperda,Oruga militar tardía ,Maíz,0,0,n/a,n/a,,,,,,,,,,,,,,,,
Acrobat® MZ,Plasmopara viticola,Peronospora ,Vid,3,0,kg/ha,Aplicar en forma preventiva cuando haya condiciones predisponentes para la aparición de la enfermedad, o bien desde la floración.,,,,,,,,,,,,,,,
Acrobat® MZ,Phytophthora infestans,Tizón tardío de la papa,Papa,0.2,0,kg/100 kg de papa cortada,Aplicar preventivamente en estadío del cultivo R3-R4 (finales de floración, inicio de llenado de granos). De observarse síntomas de la enfermedad, realizar la aplicación al inicio de floración (R1).,,,,,,,,,,,,,,
Acronis®,Cercospora sojina,Mancha ojo de rana,Soja,100,0,ml/100 kg de semilla,Tratamiento de semilla antes de la siembra.,,,,,,,,,,,,,,,,
Acronis®,Rhizoctonia solani,Tizón de la vaina,Algodón,100,0,ml/100 kg de semilla,En condiciones de monocultivo utilizar la dosis a 150 ml/100 Kg de semilla. Aplicar a la semilla antes de la siembra. Una aplicación en tratamiento de semilla hasta 15 días antes de la siembra.,,,,,,,,,,,,,,,,
Acronis®,Botrytis cinerea,Botrytis,Papa,4,0,L/há,Aspersión en banda al fondo del surco durante la plantanción asperjando los tubérculos y el fondo del surco antes de cubrirlos con tierra.,,,,,,,,,,,,,,,,
Acronis®,Rhizoctonia oryzae,Mancha de tallo y vaina,Arroz,150,0,ml/kg de semilla,Aplicar a la semilla de arroz antes de la siembra.,,,,,,,,,,,,,,,,
Adhere® Maní,Tratamiento de semillas,Tratamiento de semillas,Tratamiento de semillas,0.4,0,kg/100 kg de semillas,No aplica,,,,,,,,,,,,,,,,
Admiral®,Lagunas o fuentes de agua,Lagunas o fuentes de agua,Higiene ambiental,1,0,Lt,-,,,,,,,,,,,,,,,,
Alika®,Anticarsia gemmatalis,Oruga de las leguminosas,Soja,0.2,0,L/ha,Aplicar al alcanzar un umbral de 10-20 orugas mayores a 1.5 cm/m2. Se recomienda trabajar con altos volúmenes que aseguren una buena penetración en el canopeo, logrando al menos 20 gotas/cm2 en la parte media de la planta.,,,,,,,,,,,,,,,
Alika®,Nezara viridula,Chinche verde,Soja,0.2,0,L/ha,Aplicar, de acuerdo a los umbrales establecidos por INTA, a partir de 0,4 chinches por metro lineal, cuando la soja esté en estado de formación de vainas (R3). Se recomienda trabajar con altos volúmenes que aseguren una buena penetración en el canopeo, logrando al menos 20 gotas/cm2 en la parte media de la planta.,,,,,,,,,,,
Alika®,Schizaphis graminum,Pulgón verde de los cereales,Trigo,0.07,0,L/ha,Umbrales: Desde emergencia hasta 15 días: 3-5 pulgones por planta, luego de 15 días de emergido el cultivo: 15 pulgones por planta. Se recomienda trabajar con altos volúmenes que aseguren una buena penetración en el canopeo, logrando una buena cobertura en la parte media de la planta.,,,,,,,,,,,,,,
